customer_id,customer_name,city,age,gender
1,Customer 001,Thrissur,31,Female
2,Customer 002,Kozhikode,41,Female
3,Customer 003,Kochi,50,Female
4,Customer 004,Kannur,41,Female
5,Customer 005,Hyderabad,39,Female
6,Customer 006,Kochi,63,Female
7,Customer 007,Chennai,25,Female
8,Customer 008,Chennai,45,Female
9,Customer 009,Malappuram,44,Male
10,Customer 010,Bengaluru,40,Male
11,Customer 011,Kozhikode,56,Female
12,Customer 012,Chennai,30,Female
13,Customer 013,Bengaluru,63,Male
14,Customer 014,Malappuram,33,Male
15,Customer 015,Kochi,44,Male
16,Customer 016,Hyderabad,42,Female
17,Customer 017,Thrissur,58,Female
18,Customer 018,Hyderabad,39,Female
19,Customer 019,Bengaluru,31,Female
20,Customer 020,Chennai,19,Male
21,Customer 021,Chennai,35,Female
22,Customer 022,Kozhikode,57,Female
23,Customer 023,Malappuram,18,Female
24,Customer 024,Thrissur,61,Male
25,Customer 025,Thrissur,44,Female
26,Customer 026,Kochi,24,Male
27,Customer 027,Kannur,32,Female
28,Customer 028,Kozhikode,44,Male
29,Customer 029,Bengaluru,33,Female
30,Customer 030,Bengaluru,23,Male
31,Customer 031,Hyderabad,49,Male
32,Customer 032,Bengaluru,50,Other
33,Customer 033,Malappuram,23,Male
34,Customer 034,Hyderabad,31,Male
35,Customer 035,Thrissur,29,Male
36,Customer 036,Malappuram,49,Male
37,Customer 037,Hyderabad,53,Female
38,Customer 038,Malappuram,52,Male
39,Customer 039,Kochi,63,Male
40,Customer 040,Thrissur,54,Male
41,Customer 041,Chennai,33,Female
42,Customer 042,Kozhikode,23,Female
43,Customer 043,Thrissur,47,Male
44,Customer 044,Kozhikode,61,Female
45,Customer 045,Bengaluru,64,Female
46,Customer 046,Thrissur,29,Female
47,Customer 047,Malappuram,29,Female
48,Customer 048,Kozhikode,19,Female
49,Customer 049,Kannur,24,Female
50,Customer 050,Bengaluru,44,Female
51,Customer 051,Hyderabad,44,Female
52,Customer 052,Thrissur,35,Female
53,Customer 053,Kozhikode,32,Male
54,Customer 054,Chennai,57,Female
55,Customer 055,Bengaluru,40,Male
56,Customer 056,Bengaluru,56,Male
57,Customer 057,Kochi,64,Male
58,Customer 058,Malappuram,33,Female
59,Customer 059,Chennai,27,Male
60,Customer 060,Chennai,63,Male
61,Customer 061,Thrissur,48,Male
62,Customer 062,Chennai,31,Male
63,Customer 063,Chennai,47,Male
64,Customer 064,Thrissur,42,Male
65,Customer 065,Hyderabad,61,Female
66,Customer 066,Malappuram,30,Male
67,Customer 067,Kozhikode,65,Female
68,Customer 068,Bengaluru,62,Male
69,Customer 069,Bengaluru,26,Male
